time,english,french
363.759,adopted a method between phase one and,adopté une méthode entre la phase un et la
365.759,phase two and then also women who,phase  deux et  puis aussi les femmes qui ont
367.68,discontinued,arrêté
369.12,um so i think we we discussed cp,euh donc je pense que nous avons discuté du
372,underscore one and cp underscore two uh,soulignement cp un et du soulignement cp deux euh
374.72,category one these would be women who,catégorie un ce seraient des femmes qui
376.639,were not users,n'étaient pas des utilisatrices
378.16,because their contraceptive use status,parce que leur statut d'utilisation de contraceptifs
380.8,is zero in both periods um and then for,est nul dans les deux périodes euh et ensuite pour la
385.28,category two if they were a user in both,catégorie deux si elles étaient un  l'utilisateur dans les deux
387.759,periods,"périodes, la"
388.8,um category three will be the adopters,catégorie trois sera les adoptants
391.919,because it went from not use into use,car il est passé de non-utilisation à utilisation
395.28,and then category 4 went from use to,", puis la catégorie 4 est passée de l'utilisation à la"
398.16,non-use,non-utilisation
401.84,and i do want to emphasize,et je tiens à souligner
403.84,that this will not capture women who,que cela ne capturera pas les femmes
407.52,who may have used a method for a short,qui ont peut-être utilisé une méthode pour  une courte
410.08,period of time and cancelled or,période de temps et annulé ou
412.08,discontinued her use before we see it,interrompu son utilisation avant que nous ne la
414.319,show up,voyions apparaître
415.44,or it might,ou il se peut que
417.039,we might not,nous ne voyions pas les
418.639,see women who stopped using between the,femmes qui ont cessé d'utiliser entre la
421.759,period but adopted maybe a different,période mais qui ont peut-être adopté une méthode différente
423.84,method,NA
424.96,later on,"plus tard,"
426.479,but again there the data is collected,"mais là encore, les données sont collectées"
429.84,in a contraceptive calendar format so,dans un calendrier contraceptif  format afin que
431.759,you can,vous puissiez
433.199,catch these cases,saisir ces cas
434.96,if you use the calendar data,si vous utilisez les données du calendrier
437.68,and then also for the sake of clarity,", puis également dans un souci de clarté,"
439.52,we're going to create a label for those,nous allons créer une étiquette pour ces
442.319,categories so we remember,catégories afin que nous nous souvenions de
444.24,what each of them mean,ce que chacune d'elles signifie
446.88,and so first i wanted to i want to,"et donc d'abord, je voulais, je veux"
451.12,make it easier to visualize these,faciliter la visualisation de ceux-ci
454.08,in stata so i'm going to create separate,"dans stata, donc je vais créer"
456.24,dummy variables for each of the,des variables factices distinctes pour chacune des
457.68,categories so i'm going to tabulate,"catégories, donc je vais tabuler la"
460.16,category and generate,catégorie et générer
462.24,for,NA
463.12,dummy variables out of that,des variables factices à partir de cela
466.879,so now,alors maintenant
467.84,um,"euh,"
469.44,we had,nous avions
470.4,about 42 percent non-users uh 32 percent,environ 42 % de non-utilisateurs euh 32 % d'
474.96,users about 16 adopted,"utilisateurs, environ 16 ont adopté"
478.4,and,et un
479.199,just under 10 discontinued,"peu moins de 10 ont abandonné,"
487.36,so a huge advantage of using the,donc un énorme avantage d'utiliser les
489.759,longitudinal data over cross-sectional,données longitudinales par rapport aux données transversales
492.56,is that we can observe women both taking,est que nous pouvons observer les femmes à la fois
494.96,up family planning and discontinuing,adopter la planification familiale et abandonner
497.759,rather than seeing the net effect in,plutôt que de voir  l'effet net en
499.759,comparing the mcp,comparant le mcp
501.759,mcpr,mcpr
503.199,between the two surveys because we may,"entre les deux enquêtes, car nous venons peut-"
505.68,have only just noticed a a modest,être de remarquer une
508.8,increase in family planning use um just,"augmentation modeste de l'utilisation de la planification familiale, tout"
511.759,like netting out the difference between,comme faire la différence entre l'
513.599,adoption and continuation but then we,"adoption et la continuation, mais nous"
516,wouldn't really be seeing,ne verrions pas vraiment
518.159,the movement in those categories,le mouvement dans ces  catégories
523.12,um so and just so we can get a sense of,euh tellement et juste pour que nous puissions avoir une idée de
526.959,um,NA
527.839,how,la différence entre le
528.72,kenya and burkina faso differed,kenya et le burkina faso
531.68,i've got a bar graph and we'll just be,j'ai un graphique à barres et nous allons juste
536.48,we'll be comparing,comparer
538.56,these categories between the two,ces catégories entre  Dans les deux
540.399,countries,pays
543.44,so i'm using,","
545.12,unweighted,j'utilise donc un
546.56,counts of women um so you can as you can,nombre non pondéré de femmes euh donc vous pouvez comme vous pouvez le
549.12,see um,voir euh
550.48,there are a lot more consistent users uh,il y a beaucoup plus d'utilisateurs cohérents euh
553.76,in kenya than there are in burkina faso,au kenya qu'il n'y en a au burkina faso
556.24,um but this does not take into account,euh mais cela ne tient pas compte du fait
557.92,that these samples have different sample,que ces échantillons ont  différentes
559.92,sizes,tailles d'échantillons
560.959,and i just wanted to,et je voulais juste
563.04,demonstrate the differences between,démontrer les différences entre
565.519,these two,ces deux
566.64,graphs that like it it really matters,"graphiques qui l'aiment, c'est vraiment important"
569.2,about um and make sure to,pour euh et assurez-vous de
571.76,graph proportions,représenter graphiquement les proportions
573.44,because these will look a little,car elles auront l'air un peu
574.839,different if we're not using the sums,différentes si nous n'utilisons pas les sommes
579.92,um,NA
581.2,so as you can see um the non-users are,euh comme vous pouvez le voir  euh les non-utilisatrices sont
585.12,a huge portion of burkina faso,une énorme partie du burkina faso
588.08,but you still see quite a bit of,mais vous voyez encore pas mal de
589.519,movement and both in both countries you,mouvement et dans les deux pays vous
591.839,have a com a comparable,avez un com un
594.32,um segment of these women who adopted or,segment comparable euh de ces femmes qui ont adopté ou
597.44,discontinued,arrêté
598.88,but again these are unweighted,mais encore une fois ce sont des proportions non pondérées d'
601.12,proportions,NA
604.8,all right uh so,accord euh  donc
606.8,i'm gonna double check,je vais revérifier
608.8,on the chat see if there's any questions,sur le chat voir s'il y a des questions
612.16,um,euh d'
615.279,okay,accord
616.48,um,NA
618.56,feel free to um add questions in the,euh n'hésitez pas à ajouter des questions dans le
621.76,chat i'll try to um,chat j'essaierai de
624.16,check back in to see if there's any,revenir pour voir s'il y a des
626.72,things that i should clarify or go back,choses que je devrais clarifier ou  revenir
629.36,to um but for now um i'm going to,à euh mais pour l'instant euh je vais
633.36,continue on,continuer sur
634.64,um,euh
635.6,so,donc
636.88,as we said um our our simple logistic,comme nous l'avons dit euh notre simple régression logistique sur
639.76,regression that we're going to,laquelle nous allons nous
641.68,um to focus on today is going to be on,concentrer aujourd'hui va être sur
645.92,whether,si
646.88,uh impacts of covid,euh les impacts de covid
648.959,um had at it,euh eu à  cela
651.519,were had some significant effects on,a eu des effets significatifs sur le
654,when whether women adopted a family,moment où les femmes ont adopté une
656.56,planning method or discontinued their,méthode de planification familiale ou ont interrompu leur
658.72,method,"méthode,"
659.839,so i'm going to reuse categories three,donc je vais réutiliser les catégories trois
662.72,and four and just rename them to,et quatre et les renommer simplement en
664.48,adoption and discontinue um just so it's,adoption et interrompre euh juste pour que ce soit
668.16,a lot more clear,beaucoup plus clair
669.839,and we don't have to memorize,et nous ne '  Je ne dois pas mémoriser
671.519,what three and four mean,ce que signifient trois et quatre
675.839,and then i also want to take a look at,", puis je veux également jeter un œil à l'"
678.56,one of our,une de nos
679.92,main explanatory variables of whether,"principales variables explicatives, à savoir si"
682.88,the household lost income,le ménage a perdu des revenus en
685.12,due to cobed,raison du cobed
687.04,and so this is what i was getting at in,et c'est donc ce que je voulais dire en
690.56,um when we're creating the data extract,um quand nous créons  l'extrait
693.2,from the website so we have this niu,"de données du site Web, nous avons donc cette"
695.92,category of not in universe um so this,catégorie niu de pas dans l'univers euh donc
699.12,these are women who lived in households,ce sont des femmes qui vivaient dans des ménages
701.279,that did not lose income,qui n'ont pas perdu de revenus
704.64,because,parce que les
706.959,women were only given this question in,femmes n'ont reçu cette question dans
709.2,their survey if they reported that their,leur enquête que si elles ont déclaré que leur
711.44,household did lose income,"ménage avait perdu  Le revenu,"
713.92,so for the purposes of,donc aux fins de
717.04,this,cette
718.399,analysis what we wanted to do is look at,"analyse, ce que nous voulions faire, c'est de savoir"
721.92,did the household lose income or not,si le ménage a perdu un revenu ou non
726.399,um so,euh
728.639,and then also um was it due to covet,"et puis aussi euh était-ce dû à la convoitise,"
732.079,so we kind of have three categories of,donc nous avons en quelque sorte trois catégories de
733.839,women here um,femmes ici euh et
735.519,what if cv income loss is,si cv revenu  la perte n'est
738.32,no that means they did lose income but,"pas cela signifie qu'ils ont perdu des revenus, mais"
740.56,they said it was not due to covid,"ils ont dit que ce n'était pas à cause de covid,"
743.12,we have women who said their income,nous avons des femmes qui ont dit que leur revenu
745.36,was impacted and it was due to covid and,"avait été affecté et que c'était dû à covid,"
748.399,then women who said,puis des femmes qui ont dit que
750.079,my household did not lose income,"mon ménage n'avait pas perdu de revenus,"
753.12,so,donc
754.48,you have we have two choices here um we,"vous en avez deux  choix ici, euh, nous"
757.279,could either,pourrions soit
758.88,make this into a three category variable,en faire une variable à trois catégories
762.8,and,et la
764.32,put that into our model,"mettre dans notre modèle,"
766.56,but for the sake of simplicity for today,"mais par souci de simplicité pour aujourd'hui,"
770.24,the choice that i'm going to make is i'm,le choix que je vais faire est que je
772,going to group,vais regrouper les
773.36,women who um whose household did not,"femmes qui, euh, dont le ménage n'a pas"
776.8,experience income loss,subir une perte de revenu
778.72,with the women who did experience income,avec les femmes qui ont subi une
781.04,loss but it was not due to covid and,"perte de revenu, mais ce n'était pas dû au covid et"
783.04,again,"encore une fois,"
784.079,probably you know like,vous savez probablement que ce
785.519,not a not a choice you might make in a,n'est pas un choix que vous pourriez faire dans un
787.519,paper um but this is just more it's,"article, euh, mais c'est juste plus, il est"
790,easier to interpret a binary um for the,plus facile d'interpréter un binaire um pour le
793.68,purposes of this uh workshop,buts de ce euh wo  rkshop
796.56,um,euh
798.639,i did want to demonstrate a little bit,je voulais démontrer un peu à
801.6,again uh just in a different way to make,nouveau euh juste d'une manière différente pour
804,sure that it's clear what i mean by the,m'assurer que ce que je veux dire par le
806.079,not in universe um so this the variable,pas dans l'univers euh est clair donc c'est le montant variable de la
809.839,hh income loss amount,perte de revenu hh
812.48,that is whether the household uh,qui est de savoir si le ménage euh a
815.04,experienced income loss due to co um so,subi une perte de revenu due  pour co um donc
819.199,if the household,si le ménage
820.959,um,um
821.76,did not lose income,n'a pas perdu de revenu
823.6,then,alors
824.399,for cv income loss they are not in,pour cv perte de revenu ils ne sont pas dans l'
827.199,universe,univers
828.959,so what i'm going to do is,donc ce que je vais faire
830.8,re-code,est de recoder
832.88,our our explanatory variable cv income,notre notre variable explicative cv
835.519,loss to zero or to no um if,perte de revenu à zéro ou à no um si
839.76,the household income loss was equal to,le ménage  la perte de revenu était égale à
842.16,none,"zéro, de"
845.519,so that 3904,sorte que 3904
848.56,is now equal to zero,est maintenant égal à zéro
851.68,um,euh d'
852.56,okay,accord
853.6,excellent,excellent
855.12,um and i do not see any questions in the,euh et je ne vois aucune question dans le
858,chat,chat
859.36,um so i think i'm going to keep going,euh donc je pense que je vais continuer
863.68,um,euh
865.6,here,ici
867.6,so,donc
868.56,oh i also wanted to look at our other,oh je voulais aussi regarder notre  autre
871.519,potential explanatory variable um about,variable explicative potentielle euh à propos de la
874.399,covet concern um so,préoccupation de convoitise euh donc
877.92,one reason why,une raison pour laquelle
879.76,um code of concern could be uh it's a,euh le code de préoccupation pourrait être euh c'est un
882,proxy for the stress a woman might be,indicateur du stress qu'une femme
884.24,might have about getting copied which,"pourrait avoir à se faire copier, ce qui,"
886.639,you know might prevent her from going,"vous le savez, pourrait l'empêcher d'"
888.24,out to seek care,aller chercher des soins
890.32,or it may affect her desire to have a,ou cela pourrait  affecter son désir de  avoir un
892.88,child soon,"enfant bientôt,"
894.48,so,donc
895.36,the paper that we are loosely basing,le document sur lequel nous basons vaguement
897.68,this workshop on um,cet atelier
899.92,also use variables such as,utilise également des variables telles que
901.92,whether the household is experiencing uh,si le ménage connaît euh
905.36,food insecurity uh due to covid and also,l'insécurité alimentaire euh à cause de covid et aussi
908.8,whether the woman was able to social,si la femme a pu se distancer socialement
910.56,distance,NA
912.24,and then also,et ensuite également
913.44,available our,disponible notre
915.199,variable whether the,variable si  le
916.88,household income recovered from that,revenu du ménage a récupéré de cette
918.72,initial income loss due to coveted,"perte de revenu initiale en raison de restrictions convoitées,"
920.72,restrictions,NA
923.12,so as you can see with the concern,donc comme vous pouvez le voir avec la
925.519,variable,variable de préoccupation
927.04,a large majority in both countries again,"une grande majorité dans les deux pays encore une fois,"
929.68,these are unweighted counts,"ce sont des chiffres non pondérés,"
931.839,we're very concerned,nous sommes très préoccupés
934.56,with,par le fait
936,another group being concerned,qu'un autre groupe se préoccupe
938.72,the not concerned and little concerned,des non concernés et peu concernés
940.72,um pretty low categories um so there,euh  catégories assez basses euh donc il
943.839,could potentially be um large impacts,pourrait potentiellement y avoir des impacts importants
946.16,here uh so it seems like,ici euh donc il semble que
948.32,uh the women these samples,euh les femmes que ces échantillons que
950.399,i knew,je connaissais
951.36,were getting a lot of information a lot,recevaient beaucoup d'informations beaucoup
952.88,of messages about copid,de messages sur copid
955.36,experiencing a lot of impacts due to,subissant beaucoup d'impacts en raison des
957.519,restrictions,restrictions
961.839,so,alors
964.16,um,euh
965.04,one thing you probably noticed is that,"une chose que vous  probablement remarqué, c'est que"
967.12,what ibums does with,ce que fait ibums avec la
968.959,non-response or uh not in universe is we,"non-réponse ou euh pas dans l'univers, c'est que"
973.04,we re-code those to be rather large,nous les recodons pour qu'ils soient plutôt l  arge
975.839,numbers um so for example with the,nombres euh donc par exemple avec la
980.16,income loss variable,variable de perte de revenu
986.24,we use,nous utilisons
990.24,niu and,niu et
992.48,i want to,je veux
993.6,show you that,vous montrer
995.519,so we have our like no and yes and then,que nous avons donc notre comme non et oui et ensuite
998.16,we have larger numbers above 90 to um to,nous avons des nombres plus grands au-dessus de 90 à euh pour
1001.519,kind of,NA
1002.32,group these other categories is like,regrouper ces autres catégories est comme
1004.399,we're not going to um include these in,nous '  Je ne vais pas les inclure dans
1006.399,our analysis because they're,notre analyse parce qu'ils
1008.959,missing or that we don't have a valid,manquent ou que nous n'avons pas de
1012.16,value for them,"valeur valide pour eux,"
1013.519,so i have,donc j'ai
1014.959,a um,NA
1016.24,a loop here to remove all like missing,une boucle ici pour supprimer tous les codes manquants
1020.399,or not in universe,ou non dans l'univers
1023.44,codes out of our main variables uh to,de nos variables principales  euh pour
1026.16,just make them missing if they are niu,juste les faire manquer s'ils sont niu
1029.199,or or not missing uh or not known or,ou ou ne manquent pas euh ou ne sont pas connus ou
1032,don't know,ne savent pas
1033.52,so i'm just going to run that to make,donc je vais juste le faire pour rendre les
1035.12,things very clean and i also run it,choses très propres et je le
1037.6,through so we get both,fais aussi pour que nous obtenions tous les deux
1039.36,um the phase one version and the phase,euh la phase  une version et la version de phase
1041.839,two version,deux d'
1044.16,okay um it's in here all right we've,accord euh c'est ici d'accord nous sommes
1046.4,been,NA
1047.76,here for,ici depuis
1048.88,um about 20 minutes so um we've got,euh environ 20 minutes donc euh il nous
1051.919,about 10 minutes left and i want to,reste environ 10 minutes et je veux
1055.039,establish,établir
1056.24,that,que
1057.919,the,le plan d'
1059.039,sample design of pma is a survey and,échantillonnage de pma est une enquête et
1062.08,it's,c'est
1063.039,and it's a multi-stage cluster,et c'est une grappe à plusieurs degrés
1065.28,so i'm going to include the primary,donc je vais inclure l'
1067.2,sampling unit,unité d'échantillonnage primaire
1069.039,in my,i  n mon
1070.16,my weighting,NA
1071.6,survey set and we also have,ensemble d'enquêtes de pondération et nous avons également
1074.48,the,les
1075.52,primary sampling units were selected,unités d'échantillonnage primaires ont été sélectionnées en
1077.84,according to strata,"fonction des strates,"
1079.76,so i'm going to include that and also,donc je vais inclure cela et
1082.32,declare that panel weight is the weight,déclarer également que le poids du panel est le poids
1084.559,that i want to use,que je veux utiliser
1086.08,to get representative proportions so i'm,"pour obtenir des proportions représentatives, donc je"
1088.88,going to,vais  pour
1090.48,run,exécuter
1092.84,that so,cela afin
1095.28,um to get a cross tabulation with a,d'obtenir un tableau croisé avec une
1097.679,weighted proportion then i just insert,"proportion pondérée,"
1099.84,the svy colon,j'insère simplement le côlon svy
1101.84,ahead of my cross tabulation or ahead of,avant mon tableau croisé ou devant
1105.679,my logit,"mon logit,"
1107.2,so i'm going to run both an unweighted,donc je vais exécuter à la fois un tableau croisé non pondéré
1110.08,and a weighted,et pondéré
1111.84,cross tabulation of how many women,du nombre de femmes
1114.08,adopted family planning in both of these,a adopté la planification familiale dans ces deux
1116.4,countries and then the weighted version,"pays, puis la version pondérée"
1120.96,just to um compare the differences um so,juste pour comparer les différences euh donc
1124.559,in the non-weighted we have 15.77,"dans le non pondéré, nous avons 15,77"
1128.4,um percent of this grouping in burkina,um pour cent de ce groupe au burkina
1131.84,faso adopted and 16.12,"faso adopté et 16,12"
1134.64,in kenya,au kenya
1136.4,as you can see there was,comme vous pouvez le voir il y avait
1138.48,an over sampling of women who adopted in,un plus  échantillon de femmes qui ont adopté au
1141.28,burkina a little bit of an undersampling,burkina un peu un sous-échantillonnage
1143.6,in kenya so we've got little,au kenya donc nous avons peu
1146,so we have a bit of a difference,donc nous avons un peu de différence
1148.88,not wildly different but,pas très différente mais
1151.28,still corrected,toujours corrigée
1152.88,for,pour l'
1153.76,attrition and those other,attrition et ces autres
1156.4,features that those weights control for,fe  ures que ces poids contrôlent pour
1159.36,excellent so,excellent donc
1162.96,i'm also going to create,je vais aussi créer
1164.96,um an age category uh categorical,euh une catégorie d'âge euh
1168.16,variable um the way that the carp paper,variable catégorielle euh la façon dont le papier de la carpe l'a
1171.28,did,fait
1172.08,um,euh
1173.36,and,et
1174.559,we i'm also going to include,nous je vais également inclure
1177.52,a categorical for parity,une catégorie pour la parité
1180.4,so grouping the number of births,afin de regrouper le nombre de naissances
1183.6,and then finally,et puis finalement
1185.36,i'm building my model,je construis mon modèle
1187.6,so i'm going to have,donc je vais avoir
1189.28,separate regressions for each country,des régressions séparées pour chaque pays
1191.36,i'm not going to pull them together for,je ne vais pas les rassembler pour
1192.88,this analysis,cette analyse
1194.64,because,parce que
1197.039,the,l'expérience de
1199.12,each country's cobit restriction,restriction de cobit de chaque pays
1201.28,experience was different,était différente
1203.6,so i'm going to have separate models for,donc je vais avoir des régressions séparées  modèles d'
1207.039,adoption and,adoption et d'
1208.6,discontinuation and also by country so,"abandon et aussi par pays, ce"
1211.2,that leaves us with four models um so,qui nous laisse avec quatre modèles euh donc
1214.32,i'll get a lot of things going on my,je vais avoir beaucoup de choses sur mon
1216.24,screen so i've gotta,écran donc je dois
1218.159,um,euh
1219.76,all right so we have,tout va bien donc nous m'avons
1221.44,let me just copy this and actually paste,laissé copier ceci et le
1223.679,it into stata hopefully it's a little,coller  dans stata j'espère que c'est un peu
1225.679,more,plus
1226.48,visible,visible
1227.52,and i'm restricting to burkina faso,et je me limite au burkina faso
1230.159,for this one so i've got,pour celui-ci donc j'ai
1231.919,we're estimating the um probability that,nous estimons la probabilité euh que
1234.799,the woman,la femme
1235.76,was,soit
1236.64,of non-users in the first phase whether,des non-utilisatrices dans la première phase si
1239.36,she adopted in the second phase,elle a adopté dans la deuxième phase  e
1241.6,so we've got our age recode her urban,donc nous avons notre âge recoder son statut urbain
1244,status,NA
1245.6,her,sa
1246.4,wealth,richesse
1247.84,her education level,son niveau d'éducation
1249.6,um whether her family lost income due,euh si sa famille a perdu des revenus en raison
1253.039,to coven um and then whether how,de coven euh et ensuite si
1256,concerned she was about,elle était préoccupée par le fait de
1257.84,contracting covet and then we're going,contracter la convoitise et ensuite nous
1260,to get the odds ratios so it's a lot,allons obtenir les rapports de cotes donc c'est  beaucoup
1262.88,easier to interpret,plus facile à interpréter d'
1265.919,okay,accord
1267.12,um,euh
1268.159,so,donc à
1269.76,because of uh limited time i won't go,cause du temps limité je ne passerai pas en revue
1272.08,through each of the control variables,chacune des variables de contrôle
1273.84,and of course there are plenty others uh,et bien sûr il y en a plein d'autres euh
1276.159,that we could be including,que nous pourrions inclure
1277.919,um,euh
1279.039,i did want to focus a little bit on our,je voulais me concentrer un peu sur nos
1281.28,explanatories um so unfortunately for,explications euh  donc malheureusement pour
1284.4,bikini fosso these are not,bikini fosso ce ne sont pas
1287.039,um,euh
1288,they're not significant uh statistically,ils ne sont pas significatifs euh statistiquement
1291.2,um but,euh mais
1292.799,we do have,nous avons
1294.32,the,l'
1295.12,magnitude or the direction of the point,ampleur ou la direction de l'
1297.2,estimate um is somewhat interesting uh,estimation ponctuelle euh est quelque peu intéressant euh
1300.08,so if this was statistically significant,donc si c'était statistiquement significatif
1302.72,we might interpret if um the woman's,nous pourrions interpréter si euh le ménage de la femme a
1305.36,household lost income she might be,"perdu  revenu, elle pourrait être"
1308.72,a little bit more likely to,un peu plus susceptible d'
1311.12,adopt a method perhaps,"adopter une méthode, peut-être que"
1313.039,her demand for having a child soon was,sa demande d'avoir un enfant bientôt a été
1315.039,affected by the income loss but it's not,"affectée par la perte de revenu, mais ce n'est pas"
