time,english,french
505.919,of the household selection probability,de la probabilité de sélection des ménages
508.16,and then the weights are further,", puis les poids sont encore"
509.28,adjusted for non-response at the,ajustés pour la non-réponse au niveau du
510.8,household,ménage
512.399,and enumeration area level,"et de la zone de dénombrement,"
514.8,then for longitudinal weights we also,"puis pour les poids longitudinaux, nous"
516.959,adjust for,ajustons également pour la
518.399,loss of follow-up where we create um uh,perte de suivi où nous  créer euh euh
521.599,inverse probability weights based on the,des pondérations de probabilité inverses basées sur la
523.44,likelihood of a woman being uh,probabilité qu'une femme soit euh
526.16,one having completed the baseline survey,une ayant terminé l'enquête de base
528.399,and then adjust accordingly for,", puis ajuster  en conséquence pour l'"
530.32,attrition,attrition
531.519,and then finally the household and,", puis enfin les poids des ménages et des"
532.88,female weights are normalized at the,femmes sont normalisés au niveau
534.48,national or sub-national level,national ou sous-national
536.959,next slide,diapositive suivante d'
539.68,all right so now i'll turn it over to,"accord, alors maintenant je vais passer la"
541.76,wuchi who will go over pma panel,parole à wuchi qui passera en revue l'
543.92,membership,adhésion au panel pma
548.24,great thank you phil hi everyone my name,super merci phil salut tout le monde mon nom
550.64,is with young fleming and i'm a program,est avec un jeune flamand et je suis
552.72,officer at the kate institute at johns,responsable de programme au kate institute de johns
554.88,hopkins,hopkins
556,in this session i'm going to be,"lors de cette session, je vais"
557.519,presenting a brief overview of how the,présenter un bref aperçu de la manière dont les
559.68,panel surveys were conducted and who,enquêtes par panel ont été menées et des
561.76,were involved in the panel samples,personnes impliquées dans les échantillons par panel
564.56,a pma sampling approach is a structured,une approche d'échantillonnage pma  est un
567.04,house tool or dwelling unit based,outil de maison structurée ou une
569.12,approach,approche basée sur l'
570.16,dwelling unit is defined as a room or,unité d'habitation l'unité d'habitation est définie comme une pièce ou un
572.8,group of rooms occupied by one or more,groupe de pièces occupées par un ou plusieurs
575.2,households,ménages
576.48,pma considers each physical structured,pma considère chaque ménage physiquement structuré
579.279,household that was randomly selected as,qui a été sélectionné au hasard comme
582.24,phase one as the fixed panel,phase un comme panel fixe
584.8,at phase two or year two the res or,à la phase deux ou à la deuxième année  les rés ou les
587.839,interviewers would go back to their,intervieweurs retournaient à leurs quartiers
589.68,selected eas and re-identify the phase,sélectionnés et réidentifiaient les
592.56,one dwelling units,logements de la phase un les logements de la
594.399,phase one dwelling units were dwelling,phase un étaient des
596.48,units that were randomly selected and,logements qui étaient choisis au hasard  élus et
598.399,included in phase one sample,inclus dans l'échantillon
601.36,next slide please,NA
604.8,after the phase 1 dwelling unit was,de la phase 1 diapositive suivante s'il vous plaît après que l'unité d'habitation de la phase 1 a été
606.64,identified the interviewer conducted,identifiée l'enquêteur a mené l'
608.88,household interview and identified women,entretien ménager et identifié les femmes
611.68,eligible for the female survey,éligibles pour l'enquête féminine
614.079,the eligibility criteria for the female,les critères d'éligibilité pour l'
616.48,survey where women who were competent to,enquête féminine où les femmes qui étaient compétentes pour
619.2,answer the questionnaire between the age,répondre au questionnaire entre l'âge
621.12,of 15 and 49 years old,de 15 et 49 ans
623.68,who either lived in a selected household,qui vivaient dans un ménage sélectionné
626.079,or slept in a selected household the day,ou dormaient dans un ménage sélectionné la veille de
628.079,before the survey,l'enquête
630,if the woman has already received a,si la femme a déjà reçu un
632.24,baseline interview at phase one and she,entretien de base lors de la première phase et qu'elle a
635.2,also contin consented to be followed up,"également continué à consentir à être suivie,"
637.68,she would receive a female panel,elle recevrait une femme
639.76,follow-up survey,enquête de suivi par panel
641.92,if the woman has not received a baseline,si la femme n'a pas reçu d'
644.399,survey at phase one these were cases,"enquête de référence lors de la phase un, il s'agissait de cas"
647.04,where the women was younger than 15 at,où la femme avait moins de 15 ans
649.6,the time of phase one survey or she was,au moment de l'enquête de la phase un ou elle était
652.32,the new women moved into the household,la nouvelle femme emménagée dans le ménage
654.8,or someone who slept over the day before,ou quelqu'un qui dormait  la veille de
657.279,the survey she would receive the female,"l'enquête, elle recevrait l'"
659.68,baseline survey and would be consented,enquête de base des femmes et accepterait
662.48,to follow up for the panel survey,de suivre l'enquête par panel au
664.959,next slide please,"prochain sli  de s'il vous plaît,"
667.92,there were also instances where panel,il y a également eu des cas où des
670.64,women were found to have moved out of,femmes du panel ont quitté
672.72,the phase 1 dwelling units,les unités d'habitation de la phase 1
674.8,in these instances our ease were,"dans ces cas, notre facilité a été"
676.88,instructed to find out more information,chargée de trouver plus d'informations
679.279,about these women's either from their,sur ces femmes soit auprès de leurs
681.76,households from their neighbors or call,"ménages auprès de leurs voisins, soit en les"
683.76,them directly on their phones if the,appelant directement sur leurs téléphones  si les
685.68,phone numbers were previously provided,numéros de téléphone étaient précédemment fournis
688.48,if the women moved to a new dwelling,si les femmes déménageaient dans une nouvelle
690.64,unit within the study area the,"unité d'habitation dans la zone d'étude, l'"
692.88,interviewer would locate the new,enquêteur localiserait la nouvelle
694.56,dwelling unit and administer household,unité d'habitation et administrerait le
697.12,questionnaire at her new household even,questionnaire du ménage à son nouveau ménage même
699.76,if that new household was not previously,si ce nouveau ménage n'avait pas été précédemment
701.76,selected for pma survey,sélectionné pour l'enquête
704.48,this would help us know some key,pma  aidez-nous à connaître certaines
706.079,information about her new dwelling unit,informations clés sur son nouveau logement
710,the dwelling unit in which the panel,le logement dans lequel les femmes du panel
711.6,women is currently residing,"résident actuellement,"
714.16,then the panel women would receive the,alors les femmes du panel recevraient le questionnaire de suivi du panel des femmes
716.16,female panel follow-up questionnaire,NA
718.959,there are also instances where panel,il y a aussi des cas où les
721.12,women move to new dwelling units outside,femmes du panel déménagent dans de nouveaux logements en dehors
723.68,of the study area,du  zone d'étude
725.279,in this case she would be considered,dans ce cas elle serait considérée comme
726.88,lost to follow-up,perdue de vue
728.48,other cases where panel women who,autres cas où volet  l les femmes qui ont
730.399,refused to continue to participate,refusé de continuer à participer
733.12,or no information was available,ou aucune information n'était disponible
734.88,regarding their whereabouts and in these,concernant leur localisation et dans ces
737.12,cases they were also considered laws to,"cas, elles ont également été considérées comme des lois à"
739.04,follow up,suivre
740.88,next slide please,diapositive suivante veuillez
744.079,recap,récapituler
745.12,to recap the panel membership panel,pour récapituler l'adhésion au panel les
747.12,women are women who were aged between 15,femmes du panel sont des femmes âgées de 15
749.76,and 49 who have received female baseline,à 49 ans qui ont  ont reçu le questionnaire de référence des femmes
753.04,questionnaire at phase one and who have,lors de la première phase et qui ont
755.44,consented to follow-ups,consenti aux suivis
758,next slide please,diapositive suivante s'il vous plaît
760.56,in terms of loss to follow-up in the,en termes de perte de suivi dans l'
762.639,panel survey it occur when a panel woman,enquête par panel cela se produit lorsqu'une femme du panel
765.519,was not found for interview in,n'a pas été trouvée pour un entretien dans
767.44,subsequent surveys,"les enquêtes suivantes, en"
769.12,specifically it could occur at four,particulier cela pourrait se produire à quatre
771.2,levels at the dwelling unit level,niveaux au niveau de l'unité d'habitation niveau du
774.16,household level,ménage niveau de la
775.519,household roster level,liste des ménages
777.36,and female questionnaire level,et niveau du questionnaire féminin
780.48,next slide please,diapositive suivante s'il vous plaît
783.04,at the dwelling unit level laws to,au niveau de l'unité d'habitation les lois de
785.04,follow-up occur when the re went back to,suivi se produisent lorsque le retour à
787.68,the phase one dwelling unit and the,l'unité d'habitation de la phase un et que l'
789.76,dwelling unit was not found or it was,unité d'habitation n'a pas été trouvée ou qu'elle a été
792.079,destroyed or replaced with a commercial,détruit ou remplacé par une
794.16,structure and the whereabouts of the,structure commerciale et le lieu où se trouve l'
796.399,entire household or the panel women who,ensemble du ménage ou le panel de femmes
798.72,used to reside in the dwelling unit was,qui résidaient dans le  l'unité d'habitation n'était
801.279,not known and the women could also be,pas connue et les femmes ne pouvaient
803.6,not reached by the phone anymore,plus être jointes par téléphone
805.76,in these cases the panel woman was,"dans ces cas, la femme du panel était"
807.68,considered last to follow up,considérée comme la dernière à suivre
809.76,since the overall pma survey design,puisque la conception globale de l'enquête pma
811.92,includes cross-sectional surveys in,comprend des enquêtes transversales en
813.76,addition to the panel we would replace,"plus du panel, nous le"
816,it well in units if the dwelling unit,remplacerions bien  dans les unités si la perte d'unité d'habitation
817.839,loss was more than 10 percent in order,était supérieure à 10 % afin
820.56,to meet their target sample size,d'atteindre la taille d'échantillon cible
823.76,next slide please,"suivante, veuillez effectuer le"
825.76,last to follow up at the household level,dernier suivi au niveau du ménage
827.76,occurred when the re went back to the,s'est produite lorsque le retour à l'
830.079,phase one dwelling unit the dwelling,unité d'habitation de la phase 1 l'unité d'habitation
832.24,unit was located but the previously,était située mais la  le
834.24,selected household no longer lived there,ménage précédemment sélectionné n'y vivait plus
836.959,and no information about the entire,et aucune information sur l'ensemble du
838.8,household nor the panel women who used,ménage ni sur le panel de femmes qui
841.279,to reside there could not be gathered,y résidaient n'a pu être recueillie
843.519,in these cases panel women was,dans ces cas les femmes du panel ont été
845.279,considered lost to follow-up,considérées comme perdues de vue
847.519,there could also be instances where,il pourrait aussi y avoir des cas où
850,the household was located but they,le ménage était situé mais  ils ont
852.24,refused to participate in the household,refusé de participer à l'
854.32,survey,enquête auprès des ménages
855.279,or did not complete the entire household,ou n'ont pas rempli l'intégralité de l'
857.68,survey and in this case the household,"enquête auprès des ménages et dans ce cas, la"
860.399,roster could could not be updated and,liste des ménages pourrait  d ne pas être mis à jour et
863.04,the female follow-up questionnaire,le questionnaire
865.68,from from the,de
867.68,female follow-up questionnaire form,suivi des femmes du formulaire du questionnaire de suivi des femmes
868.959,could not be generated,n'a pas pu être généré
870.399,for the panel women and she would be,pour les femmes du panel et elle serait
872.24,considered lost to follow up,considérée comme perdue de vue
875.12,also uh lawsuit follow-up at the,également euh le suivi des poursuites au
877.279,household roster level occurred when the,niveau de la liste des ménages a eu lieu lorsque  la
879.92,re conducted the household survey at the,re a mené l'enquête auprès des ménages dans l'
882.16,phase one dwelling unit she found out,"unité d'habitation de la phase un, elle a découvert"
884.639,that the panel woman was not part of the,que la femme du panel ne faisait plus partie du
886.72,household anymore,"ménage,"
888.399,this could be because the women died or,cela pourrait être parce que les femmes sont décédées ou
890.48,moved out of the area and no one knows,ont quitté la région et que personne ne sait
892.639,her whereabouts or nobody has any,où elle se trouve ou que personne n'a d'
895.04,information about her in this case the,"informations  à son sujet dans ce cas, la"
898,panel woman was considered lost to,femme du panel a été considérée comme perdue pour le
900,follow up,suivi de
901.44,next slide please,"la diapositive suivante, s'il vous"
904.079,lastly lawson follow up at the female,"plaît enfin, le suivi au niveau du questionnaire féminin a"
906.24,questionnaire level occurred when the,eu lieu lorsque la
908.32,panel woman was not available for,femme du panel n'était pas disponible pour un
910.24,interview at all three in-person,entretien lors des trois
912.56,attempts or she could also refuse to,tentatives en personne ou elle pouvait également refuser de
914.959,continue to participate in phase two,"continuer  pour participer à la phase deux,"
917.6,she was not required to continue to,elle n'était pas tenue de continuer à
919.44,participate even though she consented to,participer même si elle avait consenti
921.44,follow up in phase one,"à suivre la phase un,"
923.76,the panel women could also become,les femmes du panel pouvaient également devenir  e
926.48,could also become incapacitated due to,pourrait également devenir incapable en raison d'une
929.04,sickness or other issues,maladie ou d'autres problèmes
931.6,or she could start the interview but,ou elle pourrait commencer l'entretien mais
933.199,could not finish the entire interview in,ne pourrait pas terminer l'intégralité de l'entretien dans
935.6,these instances the panel women was,"ces cas, les femmes du panel ont été"
937.6,considered lost to follow up with that,considérées comme perdues pour le suivi avec lequel
940.88,i'm going to conclude my session and i'm,je vais conclure ma session et je suis
943.04,going to hand over to devon who would be,NA
945.12,discussing about iphones and the data,NA
947.04,extraction,NA
949.44,thanks fati,NA
950.639,hello my name is evan christensen i'm a,je vais passer le relais à devon qui discuterait des iphones et de l'extraction de données merci fati bonjour mon nom est evan christensen je suis un
953.04,senior data analyst and i'm the project,analyste de données senior et je suis le
955.519,manager of iphone's pma um i've been,chef de projet du pma d'iphone euh je suis
958,with iphone since 2012. um for those who,avec iphone depuis 2012  euh pour ceux qui
961.44,are not familiar with iphones i'll,"ne sont pas familiers avec les iphones, je vais"
963.36,briefly explain what we do,expliquer brièvement ce que nous
965.839,so we are based at the university of,"faisons, nous sommes basés à l'université des"
968,minnesota twin cities and we take public,villes jumelles du minnesota et nous prenons des
970.8,use data such as census and survey data,données à usage public telles que des données de recensement et d'enquête
973.68,from around the world and we integrate,du monde entier et nous les
976.16,it across time and space,"intégrons à travers  dans le temps et dans l'espace,"
978.399,we also systematically document the data,nous documentons également systématiquement les données
981.44,to make it easier for researchers to use,pour faciliter leur utilisation par les chercheurs
983.68,to study change conduct comparative,pour étudier le changement mener des recherches comparatives
986,research,NA
987.279,merge information across data types and,fusionner les informations entre les types de données et
989.759,analyze individuals within family and,analyser les individus au sein de la famille et de la
992,community context,société  contexte communautaire
993.92,so we are funded by multiple entities,", nous sommes donc financés par plusieurs entités,"
996.88,including the national institutes of,y compris les instituts nationaux de la
998.639,health,"santé,"
999.519,the national science foundation et,"la fondation nationale des sciences,"
1001.279,cetera so access to the data that we,"etc., de sorte que l'accès aux données que nous"
1004.24,harmonize is always free,harmonisons est toujours gratuit
1007.12,next slide please,NA
1009.68,one thing i'd like to emphasize is that,NA
1011.6,we do not collect data ourselves but we,".  nous-mêmes, mais nous nous"
1014.56,partner with other organizations and we,associons à d'autres organisations et nous
1016.639,access existing data like performance,accédons aux données existantes telles que la
1018.8,monitoring for action,surveillance du rendement pour l'action
1020.399,and we make them easier to use,et nous les rendons plus faciles à utiliser
1022.8,so we offer a variety of integrated,afin d'offrir une variété de
1024.88,microdata collections,collections
1026.72,from u.s and international census data,de microdonnées intégrées à partir des données de recensement américaines et internationales
1028.799,to surveys on the labor force,"aux enquêtes sur l'utilisation du temps de la main-d'œuvre, la"
1031.199,time use health and review surveys,"santé et l'examen  enquêtes,"
1034.16,we also have a couple of aggregate data,nous avons également quelques collectes de données agrégées sur la
1036.16,collections of population and,population et
1037.76,agricultural census,le recensement agricole
1039.679,next slide please,diapositive suivante s'il vous plaît
1042.959,so here at iphones what i mean by,donc ici sur iphones ce que je veux dire par
1045.039,harmonize and integrate,harmoniser et intégrer
1047.36,we make sure that,nous nous assurons que les
1048.96,codes and variable names are consistent,codes et les noms de variables sont cohérents
