time,english,french
132.08,see we've got a few people in the,voyez nous avons quelques personnes dans la
133.2,waiting room,salle d'attente d'
136.8,okay let's get started,accord commençons
140.879,so um we're kind of picking up where,alors euh nous '  Je reprends en quelque sorte là où
142.56,devin left off which is,"Devin s'est arrêté, c'est-à-"
146.56,you know we've kind of created our data,dire que nous avons en quelque sorte créé notre
148.72,extract through the iphone's pma website,extrait de données via le site Web pma de l'iphone
152.239,and it's very important if you're an r,et qu'il est très important si vous êtes un
154.08,user to remember to select that fixed,utilisateur R de vous en souvenir  ber pour sélectionner ce
156.239,width data format from ipams that's the,format de données à largeur fixe à partir d'ipams c'est le
158.4,dat file what you'll actually receive is,fichier dat ce que vous recevrez réellement est
161.2,a compressed data file it's a,un fichier de données compressé c'est un
164.08,gz file you don't have to unzip this you,fichier gz que vous n'avez pas à décompresser cela vous
166.56,don't need any extra software to,n'avez pas besoin de logiciel supplémentaire pour
168.64,decompress the file we're going to load,décompresser le fichier nous  allons charger
170.879,that right into our,cela directement dans notre
172.959,all you really need to do to follow,tout ce que vous avez vraiment besoin de faire pour
174.319,along with what we're doing today is to,suivre ce que nous faisons aujourd'hui est de
177.28,put,mettre
178.72,the two associated files in a,les deux fichiers associés dans un
181.76,subfolder in your r working directory,sous-dossier de votre répertoire de travail r
184,which i usually put in a folder called,que je place habituellement dans un dossier appelé
185.92,data,data
187.44,so you're going to download the dat file,donc  vous allez télécharger le fichier dat
189.36,that's your data and then over here,"qui contient vos données, puis ici,"
191.68,under the code book menu which is,sous le menu du livre de codes qui est
193.2,blurred out you'll see this ddi link and,"flou, vous verrez ce lien ddi"
195.76,that is basically the variable labels,et c'est essentiellement les étiquettes de variable
197.92,and value labels that we're going to be,et les étiquettes de valeur sur lesquelles nous allons
200,working with in our so you need both of,travailler  avec dans notre donc vous avez besoin de
201.76,these files download them and save them,"ces deux fichiers, téléchargez-les et enregistrez-les"
204,to your working directory,dans votre répertoire de travail
207.599,uh now ipams,euh maintenant ipams
209.12,publishes a r package in our package,publie un package r dans notre package
211.84,called iphone's r to make working with,appelé iphone's r pour rendre le travail avec
214.48,um,euh
215.44,all of this metadata devin sort of,toutes ces métadonnées devin en quelque sorte
217.44,introduce uh much easier,introduire euh beaucoup plus facile
219.519,um so you can download this this package,euh donc vous  peut télécharger  ad this this package
222.319,iphones are from uh crayon just like you,iphones are from uh color like you
224.879,would any other major r package,would any other major r package
227.68,with install packages ipams are,with install install packages ipams are
231.68,and then,puis
232.64,each session when you open,chaque session lorsque vous ouvrez
234.64,or to work with an iphone's extract,"ou travaillez avec un extrait d'iphone,"
236.08,you'll just need to load that library,vous n'aurez qu'à charger cette bibliothèque
238.159,and that library comes with a function,et cette bibliothèque vient  avec une fonction
239.439,called read iphone's micro uh for,appelée lire le micro euh de l'iphone pour les
241.439,microdata so we'll specify the ddi file,microdonnées donc nous allons spécifier le fichier ddi
245.36,and the data file,et le fichier de données
246.959,there you'll have a different number,là vous aurez un numéro différent
248.319,here of course if it's your first,ici bien sûr si c'est votre premier
250.72,uh your first,euh votre premier
252,data extract from iphams it'll be number,extrait de données d'iphams ce sera le numéro
254.159,zero zero zero one and i've,zéro  zéro zéro un et j'ai déjà
256.32,got 93 data files somehow already,"93 fichiers de données d'une manière ou d'une autre,"
259.68,but um that's the only major difference,mais euh c'est la seule différence majeure
261.84,that you need to change,"que vous devez changer,"
264.16,we'll also be working with three other,nous travaillerons également avec trois autres
265.919,um,NA
267.52,uh packages in this session on the first,paquets euh euh dans cette session sur le
270,one is actually a suite of packages that,premier est en fait une suite de paquets  que la
272.639,most our users are probably familiar,"plupart de nos utilisateurs connaissent probablement,"
274.24,with it's the tidy verse,c'est que le verset bien rangé
276.96,includes,comprend
278.56,a graphics package and several,un package graphique et plusieurs
280.96,other small packages that are extremely,autres petits packages qui sont extrêmement
282.72,useful for data manipulation,utiles pour la manipulation de données
284.639,um,NA
285.6,in addition to that we're going to be,"en plus de cela, nous allons"
286.96,using the labeled package to work with,utiliser le laboratoire  eled package pour travailler avec
289.199,some value labels and then finally we'll,"certaines étiquettes de valeur, puis enfin"
291.52,be using the surveyor package which is a,nous utiliserons le package surveyor qui est un ensemble de
294.479,tidy verse wrapper around the,versets bien rangé autour du
297.52,survey package,package d'enquête
298.96,developed by a statistician named thomas,développé par un statisticien nommé thomas
301.039,lumley to work with survey weights,lumley pour travailler avec les poids d'enquête
303.36,and,et
304.16,cluster sample design,la conception de l'échantillon en grappes
306,so we'll be demonstrating how to do that,afin que nous soyons  démontrant comment faire cela
308.8,incorporate survey weights into your,incorporer des poids d'enquête dans votre
310.24,analysis,analyse
313.039,so we'll begin by kind of considering,afin que nous commencions par considérer
314.88,the analytic sample that we're working,l'échantillon analytique avec lequel nous travaillons
317.199,with,NA
318.08,uh as,euh comme la
319.52,routine mentioned you know pma uses this,"routine l'a mentionné, vous savez que pma utilise cette"
321.199,open panel design so that women can,conception de panel ouvert afin que les femmes puissent
323.68,enter the panel,entrer dans le panel
325.039,after phase one for example if they age,après la phase  un par exemple s'ils vieillissent
327.52,if they reach age 15 uh after we've,s'ils atteignent 15 ans euh après qu'on ait
329.919,already started um,déjà commencé euh
331.35,[Music],[Musique]
332.72,so and they can also be lost to follow,donc et ils peuvent aussi être perdus de
334.72,up at any phase if for example they,vue à n'importe quelle phase si par exemple ils
336.4,leave the,quittent la
337.84,study area if they leave the enumeration,zone d'étude s'ils quittent la
339.759,area,zone de dénombrement
340.96,um,euh
341.919,so what you really want to do to start,"donc ce que vous voulez vraiment faire pour commencer,"
343.68,off is is take a look at that variable,c'est jeter un œil à cette variable
345.12,that devon pointed out result fq and,que devon a souligné résultat fq et
347.12,this this is the result of the female,c'est le résultat du questionnaire féminin
349.039,questionnaire,NA
350.16,when we have a wide format data extract,lorsque nous avons un extrait de données grand format
352.639,like the one we're working with here um,comme celui avec lequel nous travaillons ici euh
354.4,you'll see two versions of result fq one,vous verrez deux versions du résultat fq on
357.12,will have the suffix one attached to it,aura le suffixe un attaché
358.96,and that's the result of the phase one,et c'est le résultat du questionnaire de la phase
361.12,questionnaire and then the other will,un et puis l'autre
362.96,have a two and that's from phase two uh,"aura un deux et c'est de la phase deux  euh,"
366.24,what you can see here is that um,"ce que vous pouvez voir ici, c'est que"
369.759,in the extract we created we selected,"dans l'extrait que nous avons créé, nous avons sélectionné"
372.16,female respondents only so that,uniquement des répondantes de sorte que
375.12,everyone who's in our data extract had,toutes les personnes figurant dans notre extrait de données
377.28,to complete you know one of the two,"devaient remplir, vous savez, l'un des deux"
380,female questionnaires there are other,"questionnaires féminins, il y a d'autres"
381.52,household members on the roster that get,membres du ménage sur la liste
384,that get dropped from the file,qui obtiennent  supprimé du fichier
386.479,um but,euh mais
388.479,we have a bunch of nas here at the,nous avons un tas de nas ici en
390.319,bottom,bas
391.199,now these are women who appeared only at,maintenant ce sont des femmes qui ne sont apparues qu'à la
394.56,phase two so there's no record for them,phase deux donc il n'y a pas d'enregistrement pour elles
396.72,at phase one but in our wide format,à la phase un mais dans notre
399.039,extract we have one row for each woman,extrait au format large nous avons une ligne pour chaque femme
401.36,so,donc
403.44,these individuals just don't have any,ces  les individus n'ont tout simplement pas de
405.199,data in the phase one columns you'll see,"données dans les colonnes de la phase un, vous"
407.6,that they do have data in the phase two,"verrez qu'ils ont des données dans les colonnes de la phase deux,"
409.199,columns that's what those ana is mean,c'est ce que ces ana signifient
413.44,if we look at the same variable from,si nous regardons la même variable de la
415.039,phase two uh you see a different number,phase deux euh vous voyez un nombre différent
417.36,of n a values these are people who,"de  n a valeurs, ce sont des personnes qui"
420.96,enter the panel late at phase two,"entrent dans le panel tard à la phase deux,"
424.16,so there's no phase one record for them,"il n'y a donc pas d'enregistrement de phase un pour elles,"
426.479,but then you also see that result fq um,mais vous voyez également que le résultat fq um
429.919,has a number of other,est associé à un certain nombre d'autres
431.68,uh codes associated with it that,codes euh qui
433.36,describe why,décrivent pourquoi
434.88,a particular female questionnaire might,un questionnaire féminin particulier pourrait
436.479,not have been completed,ne pas avoir  été remplis
438.56,and these can include things like,et ceux-ci peuvent inclure des choses comme
441.199,just declining to participate,simplement refuser de participer
443.28,or,ou l'
445.84,any of the reasons that you see here,une des raisons que vous voyez ici
449.44,what we want to do is only include women,ce que nous voulons faire est d'inclure uniquement les femmes
451.12,who completed the female questionnaire,qui ont rempli le questionnaire féminin
453.36,in both phase one and phase two so i'm,"à la fois dans la phase un et la phase deux, donc je"
455.44,going to do this with the filter,vais le faire  avec la
456.479,function and we saw that code one equals,fonction de filtre et nous avons vu que le code un équivaut à
459.36,fully completed so we'll say,"complètement rempli, nous dirons donc"
461.84,filter if both of these variables equal,filtrer si ces deux variables valent
464.16,one,un
464.96,and you can see here how many cases are,et vous pouvez voir ici combien de cas il
467.919,left,reste
471.199,in addition to focusing on women who,en plus de se concentrer sur les femmes qui ont
473.599,completed both questionnaires we're,rempli les deux questionnaires nous
475.12,going to be working only with the de,allons  travailler uniquement avec la
476.479,facto population of women and these are,population de facto des femmes et ce sont des
478.16,women who slept in the household the,femmes qui ont dormi dans le ménage la
479.68,night bef,nuit avant
480.639,the night before the household interview,"la nuit avant l'entretien ménager,"
483.44,you'll find that information in the,vous trouverez cette information dans le
484.56,variable residence,v  résidence ariable
489.039,so now these are our final uh sample,alors maintenant ce sont nos tailles d'échantillon finales euh
492.08,sizes um,NA
493.56,5208 women in burkina faso and 6935,5208 femmes au burkina faso et 6935
497.44,in kenya,au kenya
500.16,so we'll move on now to uh recoding some,donc nous allons passer maintenant à euh recoder certaines
502.24,of the independent variables that you,des variables indépendantes que vous avez
503.84,saw devin um checking out from the,vues devin um vérifier sur le
505.44,website,site
506.96,um,um
508.4,so,donc
509.52,i think something that's really,je pense  quelque chose qui est vraiment
510.96,important to know if you're an r user,important à savoir si vous êtes un utilisateur r
512.64,working with ibm's data is that,"travaillant avec les données d'ibm, c'est que"
515.12,number one we have a lot of categorical,"numéro un, nous avons beaucoup"
517.2,variables,NA
518.32,from sort of like,de variables catégorielles comme
520.64,select all that apply questions often,"sélectionner toutes les questions qui s'appliquent souvent,"
522.959,there are dichotomized versions of those,il existe des versions dichotomisées de celles
524.88,of those questions,de ces questions
526.48,um if you've worked in r for any length,euh si vous  'ai travaillé dans r pendant un
529.12,of time you're probably familiar with,"certain temps, vous savez probablement"
530.399,working with um factors for categorical,travailler avec des facteurs um pour des
533.2,data but iphones doesn't publish,"données catégorielles, mais iphones ne publie pas de"
535.279,categorical data as factors,"données catégorielles en tant que facteurs,"
537.6,we use,nous utilisons
538.8,labeled numeric variables,des variables numériques étiquetées
541.839,and the difference here is that,et la différence ici est que
544.88,you'll see an integer code for each,vous verrez un entier  code pour chaque
547.2,response and then in these square,"réponse, puis entre ces"
549.12,brackets,"crochets,"
550.399,we have the value label um for that,nous avons l'étiquette de valeur um pour cette
554.24,response and we also have variable,réponse et nous avons également des
556.16,labels,étiquettes de variables
557.12,which you can,que vous pouvez
558.64,pull up at any time with this ipams are,afficher à tout moment avec cet ipams sont
561.68,uh function,uh f  onction
563.279,so um if you're coming to r from stata,donc euh si vous venez de stata
565.44,or spss this is probably more familiar,ou spss c'est probablement plus familier
568.64,um,euh
569.76,then factors would be,alors les facteurs seraient que
571.76,we do this for a number of reasons and,nous le faisons pour un certain nombre de raisons et
573.2,i'm happy to answer a question about why,je suis heureux de répondre à une question sur pourquoi
575.12,we don't use factors maybe in the q a,nous n'utilisons pas de facteurs peut-être  dans le q a
578.56,but we'll be showing you how to work,mais nous allons vous montrer comment travailler
580.56,with these sort of special,avec ce genre de
582.72,numerically,NA
584.08,coded and labeled categorical variables,"variables catégorielles spéciales codées numériquement et étiquetées,"
588.959,so as i mentioned we're gonna be using,"donc comme je l'ai mentionné, nous allons utiliser"
590.24,that ipam's r package to do a little bit,le package r de cet ipam pour faire un peu
592.32,of recoding um you know devin,de recodage euh vous savez devin
594.56,highlighted the fact that we saw a,mis en évidence  le fait que nous ayons vu un
596.56,number of,certain nombre de cas
597.76,not in universe cases in one of our,non inclus dans l'univers dans l'une de nos
600.16,variables coveted income laws,variables convoitées lois sur le revenu
602.16,and that these actually came from women,et que celles-ci provenaient en fait de femmes
604.72,who answered a prior question,qui ont répondu à une question préalable
606.959,about whether their household,sur la question de savoir si leur ménage avait
609.36,lost any income,"perdu un revenu,"
611.2,um not necessarily covert related and if,pas nécessairement lié à la dissimulation et si
613.6,they said that they hadn't lost any,elles ont dit qu'elles  n'avait perdu aucun
615.44,income of any kind here,revenu d'aucune sorte ici
618.72,for none,pour aucun
619.839,this question was,cette question a été
621.12,skipped and so those cases are marked,ignorée et donc ces cas ne sont
624.079,not in universe but you know you could,pas marqués dans l'univers mais vous savez que
626.72,you could recode this variable and,vous pourriez recoder cette variable et les
628.64,include them as no because if they,inclure comme non parce que s'ils
630.64,didn't lose income of any kind it makes,"n'ont pas perdu  revenus de toute nature, il est"
632.72,sense they didn't lose any income,logique qu'ils n'aient pas perdu de revenus à
634.399,because of covid either so that's what,"cause de covid non plus, c'est donc ce que"
636.959,we want to do,nous voulons faire
639.839,oh uh just a reminder you can always,"oh euh juste un rappel, vous pouvez toujours"
641.92,find information about the universe on,trouver des informations sur l'univers sur
644.079,the universe tab that,l'onglet univers que
645.92,devon demonstrated,"devon a démontré,"
650.72,so here,alors
653.519,is where we'll be recoding those niu,voici où nous  recodera
656.8,cases to zeros,à nouveau ces cas niu à
660.079,again if if you've worked with r but not,zéro si si vous avez travaillé avec r mais pas avec
662.48,ipm's data you might just try recoding,"les données d'ipm, vous pouvez simplement essayer de recoder"
666.32,those 99s as zero,"ces 99 comme zéro,"
669.12,but if you do that you'll notice that,"mais si vous faites cela, vous remarquerez que"
670.959,the labels get dumped,les étiquettes sont jetées à
673.519,because of automatic co,cause de la coercition automatique
675.44,coercion,NA
677.519,so what you want to do is work with a,"donc ce que vous voulez faire, c'est travailler avec une"
679.92,function like,fonction comme
681.6,something from the labeled package which,quelque chose du package étiqueté qui
683.76,essentially recodes this value but,recode essentiellement cette valeur mais
685.92,retains the label so you can see here,conserve l'étiquette afin que vous puissiez voir ici
687.92,now,maintenant
688.959,the no label is still attached to the,l'absence d'étiquette est toujours attachée au
692,zero if i had if i had not used labeled,zéro si j'avais si je n'avais pas utilisé étiqueté
695.36,you would not see these labels anymore,"vous ne verriez plus ces étiquettes,"
697.36,you just see zeros ones and 97s and 99s,"vous ne verriez que des zéros, des 97 et des 99, d'"
706.48,uh okay so,"accord, donc"
708.16,with the remaining um,"avec le reste,"
710.88,the remaining codes that are not just,les codes restants qui ne sont pas seulement des
712.72,valid responses those 97s and 99s we'll,"réponses valides, ces 97 et 99, nous"
715.2,want to now replace them with n a's uh,voudrons maintenant les remplacer par l'
717.92,iphone's r has a has a little function,iphone de n a  's r a un a une petite
720.72,label in a if,étiquette de fonction dans a si
722.56,it's very helpful for this kind of thing,c'est très utile pour ce genre de chose
724.32,um you can use this pronoun,euh vous pouvez utiliser ce pronom
727.519,for value,pour la valeur
729.279,in a lambda function that's what that is,dans une fonction lambda c'est ce que c'est
732.079,uh and we're saying if the value is,euh et nous disons si la valeur est
734.079,greater than 90 we would just like to,supérieure à 90 nous  voudrais juste
735.6,replace those values with n a so that,remplacer ces valeurs par n a pour qu'encore une
737.76,again that comes from the iphone's r,fois cela provienne du package r de l'iphone
739.44,package and you can see that that's,et vous pouvez voir que cela est
741.2,implemented here,"implémenté ici,"
743.12,you can also,vous pouvez également
745.36,re-label,ré-étiqueter les
747.36,variables with with the pronoun label so,variables avec l'étiquette du pronom afin que
750.24,you can actually,vous puissiez réellement
751.6,say if the label is is no response or,dire si l'étiquette est n'est pas  réponse ou
754.399,missing or niu i'd like to,manquant ou niu je voudrais les
756.88,turn those into n a's as well,transformer en n a aussi d'
763.6,okay so once you've sort of finished,accord donc une fois que vous avez en quelque sorte fini de
765.68,working with the labels and negotiated,travailler avec les étiquettes et négocié
767.92,for example all of the niu cases,par exemple tous les cas niu
770.56,we do recommend then transforming the,nous vous recommandons de transformer la
773.2,variable that you're working with into a,variable que vous '  re travaillez avec un
775.04,factor if it's categorical and what you,facteur s'il est catégorique et ce que vous
777.76,want to make sure to do is,voulez vous assurer de faire est d'
780.56,use uh,utiliser euh
781.54,[Applause],[Applaudissements]
782.959,this version of as factor it's got an,cette version de comme facteur il y a un
784.959,underscore in it it comes from the four,trait de soulignement dedans il vient du
786.959,cats package for working with,paquet quatre chats pour travailler avec
789.76,with factors that's part of the tidy,des facteurs qui fait partie de  le verset bien rangé
792.16,verse that we loaded we ran library tidy,"que nous avons chargé, nous avons exécuté le verset de la bibliothèque,"
795.12,verse,NA
797.2,what this does is it takes the value,"ce que cela fait, c'est qu'il prend l'"
799.76,label and uses it as the,étiquette de valeur et l'utilise comme
802.079,factor level,niveau de facteur
803.839,so you can see here that our numeric,afin que vous puissiez voir ici que nos
805.6,codes are gone and they've been replaced,codes numériques ont disparu et qu'ils ont été remplacés
807.36,with,par des
808.32,characters no and yes and n a,caractères non et oui et n a
811.839,the reason we want to,la raison  nous voulons
813.279,transform our,transformer nos
815.279,numeric variables into,variables numériques en
817.2,factors in the end is because,facteurs à la fin parce que
820,if you do any kind of graphing you're,"si vous faites n'importe quel type de graphique,"
822.079,going to then see the value label rather,vous verrez alors l'étiquette de valeur plutôt
824.48,than the numeric code you'll see the,"que le code numérique, vous verrez les"
825.92,numeric codes if you forget to turn it,codes numériques si vous oubliez de le transformer
827.839,into a factor and it also makes working,en  un facteur et cela rend également le travail
830,with dummy variables in regression,avec des variables fictives dans l'
831.76,analysis uh quite a bit easier as well,analyse de régression euh un peu plus facile ainsi que les
837.12,likert style questions can be treated as,questions de style likert peuvent également être traitées comme des
839.68,factors as well here's that covid,facteurs voici cette
841.839,concern variable that devon introduced,variable de préoccupation covid que devon a introduite
845.12,indicating a woman's level of concern,indiquant le niveau de préoccupation d'une femme à l'
847.44,about becoming affected with covid19 and,idée d'être affectée par covid19 et
850.079,this is at at phase two amidst the,c'est à la phase deux au milieu de la
852.959,pandemic,"pandémie,"
854.72,you can see here that we've got this,vous pouvez voir ici que nous avons cette
856.16,likert style uh scale ranging from not,échelle euh de style likert allant de pas
859.04,concerned to very concerned but then you,inquiet à très inquiet mais ensuite vous
861.12,have this code five,avez ce code cinq
862.8,um,um
863.6,currently or previously infected with,curr  ently ou précédemment infecté par
865.36,covid19,covid19
866.88,and you have a few missing responses so,"et vous avez quelques réponses manquantes, donc"
869.44,um,euh
873.12,this time what we're going to do is use,"cette fois, ce que nous allons faire est d'"
875.6,that use that value pronoun again to say,utiliser à nouveau ce pronom de valeur pour dire
878.8,that we would like to label n a,que nous aimerions étiqueter n a
881.44,any value where the value,n'importe quelle valeur où la valeur
884.399,is greater or equal,est supérieure ou égale
886.72,greater than or equal to five,supérieur ou égal à cinq
888.639,and then i'm just going to speed things,", puis je vais simplement accélérer les"
890.56,along here and pipe that directly to our,choses ici et diriger cela directement vers notre
892.8,function as factor,fonction en tant que facteur
895.279,so,afin
896.24,that gets rid of the 5 and the 98 that,que cela se débarrasse du 5 et du 98 que
898.56,we saw and then um turns it into a,"nous avons vus, puis euh le transforme en un"
901.36,factor,facteur
907.36,uh okay so something that we feature a,euh d'accord  donc quelque chose que nous présentons
909.92,lot on the blog is,beaucoup sur le blog est une
912.72,sort of strategies to make your data,sorte de stratégies pour rendre votre
914.88,cleaning workflow more efficient and one,flux de travail de nettoyage de données plus efficace et l'une
917.04,of my favorite strategies is using the,de mes stratégies préférées utilise à nouveau la
919.36,across function from deep wire deep wire,fonction transversale de deep wire deep wire
922.48,again is one of those packages,est à nouveau l'un de ces
924.56,that gets loaded when you load the tidy,packages qui est chargé lorsque vous chargez  l'éclatement ordonné
926.639,burst,NA
927.6,and across just allows you to run the,et à travers vous permet simplement d'exécuter la
930.16,same data manipulation function over,même fonction de manipulation de données sur
932.8,several variables in sequence so here,"plusieurs variables en séquence, donc ici,"
935.12,i'm saying okay across these variables,"je dis d'accord sur ces variables,"
938.079,i'd like to do,je voudrais faire
939.36,basically the workflow we saw on our on,essentiellement le flux de travail que nous avons vu sur notre sur
941.44,our,notre
942.24,on our last slide um so this is country,sur ou  r dernière diapositive euh donc c'est le pays
945.279,uh the urban a rural status of the,euh le statut urbain un rural de la
947.36,enumeration area where the one woman,zone de dénombrement où la seule femme
949.519,resides um the wealth uh tertile of her,réside euh la richesse euh tertile de son
953.759,household and her uh general education,ménage et son euh
957.12,level so with each one of those we'll,niveau d'éducation générale donc avec chacun de ceux-là nous
959.12,we'll,allons nous
960.16,turn the,tourner  les
961.519,values above 90 into n a's and then um,valeurs supérieures à 90 dans n a et ensuite euh
964.72,course as a factor,bien sûr comme un facteur
969.6,uh so,euh donc
970.959,something that everyone does when they,quelque chose que tout le monde fait quand ils
973.36,start working with categorical variables,commencent à travailler avec des variables catégorielles
975.199,is they have to learn you know how to,est qu'ils doivent apprendre vous savez comment
976.56,set a reference group um,définir un groupe de référence euh
978.72,you can do this with a another um,vous pouvez le faire avec un autre euh
981.12,function from the four cats,fonction du package quatre chats
983.36,package,NA
984.56,it's factory level so here here i'm,c'est au niveau de l'usine donc ici je
987.279,setting up,configure l'
988.72,age in three groups,âge en trois groupes
991.68,so um,donc euh une
993.519,sort of a young group a middle group and,sorte de groupe jeune un groupe moyen et
994.88,an older group,un groupe plus âgé
997.6,and i do that with case when and that,et je le fais avec le cas quand et qui
1000.48,creates this character string but i want,crée cette chaîne de caractères mais je
1002.079,to make sure that,Je veux m'assurer que
1003.759,i use,j'utilise
1006.079,the youngest group as my reference group,le groupe le plus jeune comme mon groupe de référence.
1008.8,factor v level is going to set your,NA
1011.36,levels in the order that you that you,NA
1013.6,specify here,NA
1015.04,so this will ensure that the youngest,NA
1016.639,group is is the reference group,NA
1020.72,all right so much for our,r nos
1025.199,independent variables we're now going to,"variables indépendantes, nous allons maintenant"
1026.559,look at our dependent variables,"examiner nos variables dépendantes,"
1034.88,so,donc
1036.72,as devon mentioned we're interested in,"comme devon l'a mentionné, nous sommes intéressés à"
1039.199,predicting,prédire l'
1040.48,um,NA
1042,contraceptive method adoption and,adoption et l'
1044.64,discontinuation between phase one and,arrêt de la méthode contraceptive entre la phase un et la
1046.959,phase two uh and we're primarily,phase deux euh et nous sommes principalement
1049.44,interested in how,intéressés par la façon dont
1050.84,um those covid19 variables impact,ces variables covid19  impact
1055.2,whether women adopted a method or just,si les femmes ont adopté une méthode ou juste
1057.2,continued a method,continué une méthode
1059.2,so we're going to use this variable,donc nous allons utiliser cette variable
1061.76,cp,cp
1064,to create,pour créer
1066.32,basically,essentiellement
1068.88,a dependent variable with four levels,une variable dépendante à quatre niveaux
1072,so here you can see sort of the,donc ici vous pouvez voir une sorte de
1073.44,breakdown of each of the four possible,répartition de chacune des quatre
1076.24,permutations of those two variables,permutations possibles de ces deux variables
1079.6,um oh we're also dropping,euh oh nous abandonnons également
1081.76,uh any case that um either one of these,euh tout cas où l'une de ces
1085.36,variables was missing or niu,variables manquait ou niu
1088.64,i think that's like three cases across,je pense que c'est comme trois cas sur
1090.32,the across the entire data set,"l'ensemble de l'ensemble de données,"
1094.72,all right so we will say that a woman,donc nous dirons qu'une femme
1096.48,has adopted a method if she was,a adopté une méthode si elle était
1099.52,not using one at baseline at phase one,"n'en utilisait pas une au départ lors de la première phase,"
1102.64,but then reported that she was using one,mais a ensuite signalé qu'elle en utilisait une
1105.28,when we spoke to her again one year,lorsque nous lui avons reparlé un an
1107.36,later,plus tard
1108.559,and she has discontinued a method if she,et qu'elle a arrêté une méthode si elle en
1111.2,was using one at baseline but then when,"utilisait une  au départ, mais ensuite, lorsque"
1113.919,we talked to her again a year later she,"nous lui avons reparlé un an plus tard,"
1115.52,was no longer using a method of any kind,elle n'utilisait plus aucune méthode d'aucune sorte
1119.6,so here we use case when to identify,", nous utilisons donc ici le cas quand pour identifier"
1121.919,those cases and,ces cas et
1123.76,i'm just going to set,je vais simplement
1126,set this up as a factor with,configurer cela comme un facteur avec un
1128.96,factor in by frequency basically so,"facteur dans  par fréquence essentiellement, donc"
1131.6,whatever,quel que soit le
1132.799,group has the largest frequency would be,groupe qui a la fréquence la plus élevée serait
1135.12,our reference group,notre groupe de référence
1139.76,um so,euh donc
1140.88,the first thing that you would probably,la première chose que vous voudriez probablement
1142.16,want to do is put together some kind of,faire est de mettre en place une sorte de
1143.52,descriptive statistics table for this,tableau statistique descriptif pour cette
1145.36,variable um and we can do an unweighted,variable euh et nous pouvons faire une description non pondérée de l'
1148.559,you know sample description,échantillon
